transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1;best_params
dino_vits8;LogisticRegression;176;43;54;0;0.9444444444444444;[1.         0.85714286 0.88235294 1.        ];[1.     0.75   0.9375 1.    ];[1.         0.8        0.90909091 1.        ];{'C': 1}
dino_vits8;KNeighborsClassifier;176;43;54;0;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vits8;SVC;176;43;54;0;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vits8;RandomForestClassifier;176;43;54;0;0.8703703703703703;[0.96153846 0.6        0.77777778 1.        ];[1.    0.375 0.875 1.   ];[0.98039216 0.46153846 0.82352941 1.        ];{'n_estimators': 10}
dino_vits8;MLPClassifier;176;43;54;0;0.8703703703703703;[0.96153846 0.6        0.77777778 1.        ];[1.    0.375 0.875 1.   ];[0.98039216 0.46153846 0.82352941 1.        ];{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}
dino_vits8;XGBClassifier;176;43;54;0;0.9259259259259259;[0.92592593 0.83333333 0.9375     1.        ];[1.     0.625  0.9375 1.    ];[0.96153846 0.71428571 0.9375     1.        ];{'n_estimators': 100}
dino_vits8;LogisticRegression;176;43;54;1;0.9444444444444444;[1.         0.85714286 0.88235294 1.        ];[1.     0.75   0.9375 1.    ];[1.         0.8        0.90909091 1.        ];{'C': 1}
dino_vits8;KNeighborsClassifier;176;43;54;1;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vits8;SVC;176;43;54;1;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vits8;RandomForestClassifier;176;43;54;1;0.9259259259259259;[0.89285714 1.         0.94117647 1.        ];[1.  0.5 1.  1. ];[0.94339623 0.66666667 0.96969697 1.        ];{'n_estimators': 100}
dino_vits8;MLPClassifier;176;43;54;1;0.9444444444444444;[0.96153846 1.         0.88888889 1.        ];[1.    0.625 1.    1.   ];[0.98039216 0.76923077 0.94117647 1.        ];{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'solver': 'adam'}
dino_vits8;XGBClassifier;176;43;54;1;0.9259259259259259;[0.89285714 1.         0.94117647 1.        ];[1.    0.625 1.    0.8  ];[0.94339623 0.76923077 0.96969697 0.88888889];{'n_estimators': 100}
dino_vits8;LogisticRegression;176;43;54;2;0.9074074074074074;[0.96153846 0.8        0.83333333 1.        ];[1.     0.5    0.9375 1.    ];[0.98039216 0.61538462 0.88235294 1.        ];{'C': 1}
dino_vits8;KNeighborsClassifier;176;43;54;2;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'distance'}
dino_vits8;SVC;176;43;54;2;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vits8;RandomForestClassifier;176;43;54;2;0.8888888888888888;[0.92592593 1.         0.8        1.        ];[1.   0.25 1.   1.  ];[0.96153846 0.4        0.88888889 1.        ];{'n_estimators': 100}
dino_vits8;MLPClassifier;176;43;54;2;0.8703703703703703;[0.96153846 0.6        0.77777778 1.        ];[1.    0.375 0.875 1.   ];[0.98039216 0.46153846 0.82352941 1.        ];{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'solver': 'sgd'}
dino_vits8;XGBClassifier;176;43;54;2;0.9259259259259259;[0.92592593 0.83333333 0.9375     1.        ];[1.     0.625  0.9375 1.    ];[0.96153846 0.71428571 0.9375     1.        ];{'n_estimators': 100}
dino_vits8;LogisticRegression;176;43;54;3;0.9259259259259259;[1.    0.75  0.875 1.   ];[1.    0.75  0.875 1.   ];[1.    0.75  0.875 1.   ];{'C': 100}
dino_vits8;KNeighborsClassifier;176;43;54;3;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vits8;SVC;176;43;54;3;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vits8;RandomForestClassifier;176;43;54;3;0.8333333333333334;[0.92592593 0.5        0.76470588 0.83333333];[1.     0.25   0.8125 1.    ];[0.96153846 0.33333333 0.78787879 0.90909091];{'n_estimators': 10}
dino_vits8;MLPClassifier;176;43;54;3;0.8703703703703703;[0.96153846 0.6        0.77777778 1.        ];[1.    0.375 0.875 1.   ];[0.98039216 0.46153846 0.82352941 1.        ];{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}
dino_vits8;XGBClassifier;176;43;54;3;0.9074074074074074;[0.92592593 1.         0.84210526 1.        ];[1.  0.5 1.  0.8];[0.96153846 0.66666667 0.91428571 0.88888889];{'n_estimators': 100}
dino_vits8;LogisticRegression;176;43;54;4;0.8888888888888888;[0.96153846 0.66666667 0.82352941 1.        ];[1.    0.5   0.875 1.   ];[0.98039216 0.57142857 0.84848485 1.        ];{'C': 10}
dino_vits8;KNeighborsClassifier;176;43;54;4;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vits8;SVC;176;43;54;4;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vits8;RandomForestClassifier;176;43;54;4;0.9074074074074074;[0.92592593 1.         0.84210526 1.        ];[1.    0.375 1.    1.   ];[0.96153846 0.54545455 0.91428571 1.        ];{'n_estimators': 500}
dino_vits8;MLPClassifier;176;43;54;4;0.8888888888888888;[0.96153846 0.75       0.78947368 1.        ];[1.     0.375  0.9375 1.    ];[0.98039216 0.5        0.85714286 1.        ];{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}
dino_vits8;XGBClassifier;176;43;54;4;0.9629629629629629;[0.92592593 1.         1.         1.        ];[1.   0.75 1.   1.  ];[0.96153846 0.85714286 1.         1.        ];{'n_estimators': 100}
transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1;best_params
dino_vits8;LogisticRegression;176;43;54;0;0.9444444444444444;[1.         0.85714286 0.88235294 1.        ];[1.     0.75   0.9375 1.    ];[1.         0.8        0.90909091 1.        ];{'C': 1}
dino_vits8;KNeighborsClassifier;176;43;54;0;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vits8;SVC;176;43;54;0;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vits8;RandomForestClassifier;176;43;54;0;0.8703703703703703;[0.96153846 0.6        0.77777778 1.        ];[1.    0.375 0.875 1.   ];[0.98039216 0.46153846 0.82352941 1.        ];{'n_estimators': 10}
dino_vits8;MLPClassifier;176;43;54;0;0.8703703703703703;[0.96153846 0.6        0.77777778 1.        ];[1.    0.375 0.875 1.   ];[0.98039216 0.46153846 0.82352941 1.        ];{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}
dino_vits8;XGBClassifier;176;43;54;0;0.9259259259259259;[0.92592593 0.83333333 0.9375     1.        ];[1.     0.625  0.9375 1.    ];[0.96153846 0.71428571 0.9375     1.        ];{'n_estimators': 100}
dino_vits8;LogisticRegression;176;43;54;1;0.9444444444444444;[1.         0.85714286 0.88235294 1.        ];[1.     0.75   0.9375 1.    ];[1.         0.8        0.90909091 1.        ];{'C': 1}
dino_vits8;KNeighborsClassifier;176;43;54;1;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
